Metric,Operator,Mean,Rank,Significantly_Different_From_Top,Kruskal_Wallis_p,Kruskal_Wallis_Significant
Conditional Elite Hit Rate (%),StylisticMutator,4.667142857142857,12,False,0.16212810933811878,False
Invalid Rate (%),SemanticSimilarityCrossover,0.0,1,False,7.859556797899656e-12,True
Invalid Rate (%),POSAwareAntonymReplacement,4.9957142857142856,2,False,7.859556797899656e-12,True
Invalid Rate (%),LLM_POSAwareSynonymReplacement,13.14857142857143,3,False,7.859556797899656e-12,True
Invalid Rate (%),NegationOperator,18.81,4,False,7.859556797899656e-12,True
Invalid Rate (%),LLMBackTranslation_HI,21.072857142857142,5,False,7.859556797899656e-12,True
Invalid Rate (%),MLM,26.48428571428571,6,False,7.859556797899656e-12,True
Invalid Rate (%),ConceptAdditionOperator,38.52428571428571,7,False,7.859556797899656e-12,True
Invalid Rate (%),StylisticMutator,39.39857142857143,8,False,7.859556797899656e-12,True
Invalid Rate (%),InformedEvolutionOperator,40.05857142857143,9,False,7.859556797899656e-12,True
Invalid Rate (%),LLMBasedParaphrasing,40.94857142857143,10,False,7.859556797899656e-12,True
Invalid Rate (%),TypographicalErrorsOperator,53.25857142857143,11,False,7.859556797899656e-12,True
Invalid Rate (%),SemanticFusionCrossover,56.01999999999999,12,False,7.859556797899656e-12,True
Non-Elite Percentage (%),SemanticSimilarityCrossover,21.872857142857146,1,False,2.9881751538339224e-11,True
Non-Elite Percentage (%),SemanticFusionCrossover,39.74285714285714,2,False,2.9881751538339224e-11,True
Non-Elite Percentage (%),TypographicalErrorsOperator,41.68,3,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),InformedEvolutionOperator,49.15714285714286,4,False,2.9881751538339224e-11,True
Non-Elite Percentage (%),LLMBasedParaphrasing,54.80571428571428,5,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),ConceptAdditionOperator,55.712857142857146,6,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),StylisticMutator,56.67714285714286,7,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),MLM,60.65,8,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),LLMBackTranslation_HI,71.03285714285714,9,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),NegationOperator,71.47,10,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),LLM_POSAwareSynonymReplacement,75.90285714285713,11,True,2.9881751538339224e-11,True
Non-Elite Percentage (%),POSAwareAntonymReplacement,83.9557142857143,12,True,2.9881751538339224e-11,True
Mean Delta Score,InformedEvolutionOperator,-0.16999999999999998,1,False,0.006551937596453073,True
Mean Delta Score,LLMBackTranslation_HI,-0.07,2,False,0.006551937596453073,True
Mean Delta Score,StylisticMutator,-0.06571428571428571,3,False,0.006551937596453073,True
Mean Delta Score,NegationOperator,-0.0642857142857143,4,False,0.006551937596453073,True
Mean Delta Score,TypographicalErrorsOperator,-0.06285714285714286,5,False,0.006551937596453073,True
Mean Delta Score,LLMBasedParaphrasing,-0.06142857142857144,6,False,0.006551937596453073,True
Mean Delta Score,POSAwareAntonymReplacement,-0.055714285714285716,7,False,0.006551937596453073,True
Mean Delta Score,LLM_POSAwareSynonymReplacement,-0.054285714285714284,8,False,0.006551937596453073,True
Mean Delta Score,SemanticFusionCrossover,-0.054285714285714284,9,False,0.006551937596453073,True
Mean Delta Score,ConceptAdditionOperator,-0.05285714285714286,10,False,0.006551937596453073,True
Mean Delta Score,MLM,-0.05142857142857143,11,False,0.006551937596453073,True
Mean Delta Score,SemanticSimilarityCrossover,-0.05,12,False,0.006551937596453073,True
Delta Score Std Dev,SemanticFusionCrossover,0.09142857142857141,1,False,0.0027545185416443445,True
Delta Score Std Dev,SemanticSimilarityCrossover,0.09428571428571428,2,False,0.0027545185416443445,True
Delta Score Std Dev,InformedEvolutionOperator,0.10714285714285712,3,False,0.0027545185416443445,True
Delta Score Std Dev,LLM_POSAwareSynonymReplacement,0.11142857142857143,4,False,0.0027545185416443445,True
Delta Score Std Dev,MLM,0.1157142857142857,5,False,0.0027545185416443445,True
Delta Score Std Dev,TypographicalErrorsOperator,0.1157142857142857,6,False,0.0027545185416443445,True
Delta Score Std Dev,LLMBasedParaphrasing,0.11714285714285713,7,False,0.0027545185416443445,True
Delta Score Std Dev,POSAwareAntonymReplacement,0.11714285714285713,8,False,0.0027545185416443445,True
Delta Score Std Dev,StylisticMutator,0.11714285714285713,9,False,0.0027545185416443445,True
Delta Score Std Dev,NegationOperator,0.11857142857142856,10,False,0.0027545185416443445,True
Delta Score Std Dev,LLMBackTranslation_HI,0.12,11,False,0.0027545185416443445,True
Delta Score Std Dev,ConceptAdditionOperator,0.12571428571428572,12,False,0.0027545185416443445,True
